tr1,br1,d1,t2,xr1,yr1,xr2,yr2,xr3,yr3,EAB
5.707,16.927,1.471,8.407,10.653,4.796,15.371,6.323,12.936,6.47,131
7.286,17.439,1.597,8.504,13.057,6.056,13.439,5.052,13.101,3.054,138
5.764,13.434,1.324,8.194,14.644,5.942,11.762,4.492,10.659,4.967,135
8.481,19.289,1.495,8.63,12.724,4.644,11.074,6.453,12.546,5.53,141
9.601,18.944,1.221,9.253,11.418,5.085,10.339,3.7,14.144,6.343,139
11.738,12.051,1.465,8.904,12.749,4.892,14.066,3.196,11.312,3.637,139
9.994,12.213,1.883,9.736,15.068,3.784,15.333,3.506,14.218,5.844,136
7.648,17.997,1.398,9.527,12.485,4.353,10.062,3.218,15.482,5.948,140
5.867,12.229,1.952,8.217,14.582,5.281,10.03,5.314,13.331,4.23,135
11.54,16.414,1.623,8.136,15.292,4.659,11.178,3.316,14.965,4.588,139
7.843,16.187,1.376,8.644,10.704,5.827,14.831,5.21,10.515,3.674,138
11.932,13.304,1.899,9.139,12.72,5.411,11.999,5.019,13.831,3.495,141
9.514,14.979,1.721,9.695,10.901,6.473,10.366,6.439,14.752,5.423,139
6.459,19.233,1.842,8.365,12.825,4.798,14.829,3.568,11.466,4.097,140
11.284,12.461,1.078,8.611,14.937,4.304,12.511,4.38,11.998,4.948,140
10.846,15.562,1.715,9.592,14.49,5.316,14.435,5.228,15.141,4.499,138
5.122,18.719,1.708,8.569,15.275,4.349,11.415,3.626,11.833,3.069,138
7.021,17.33,1.973,8.521,13.852,3.684,13.268,3.919,13.366,3.54,139
7.07,15.613,1.089,9.637,11.808,4.158,11.908,6.042,10.978,4.292,138
9.982,17.011,1.478,8.748,10.698,5.323,14.395,3.903,12.629,6.34,140
10.853,16.833,1.523,8.409,10.132,6.274,13.886,4.885,10.661,3.338,140
9.486,13.429,1.78,9.307,12.934,4.006,13.615,5.506,11.89,5.188,139
5.431,12.719,1.948,8.348,13.87,3.585,10.546,4.378,13.075,4.603,133
8.174,14.052,1.385,8.341,12.498,5.537,15.021,5.615,11.926,5.88,136
6.839,18.099,1.129,9.918,13.255,3.301,13.567,5.311,12.898,5.529,136
10.21,14.932,1.398,8.459,13.309,4.573,14.46,3.43,10.904,3.369,140
9.153,13.39,1.867,8.569,13.484,3.017,12.601,4.066,13.616,6.125,134
7.043,14.534,1.465,8.358,13.133,3.939,13.648,3.71,11.767,4.84,139
7.941,13.217,1.393,9.622,11.55,5.626,10.196,5.141,13.143,3.616,139
10.371,17.705,1.411,8.251,14.453,3.061,14.914,4.489,14.821,4.056,140
8.022,12.797,1.598,8.141,14.555,4.041,11.984,3.561,10.452,6.464,136
10.915,14.034,1.476,9.676,10.219,6.355,15.314,3.51,10.109,5.107,141
7.891,14.34,1.26,8.822,13.739,4.975,14.274,3.759,10.723,5.732,139
11.078,14.855,1.566,9.254,14.079,6.203,10.589,3.346,14.441,6.396,139
5.652,19.709,1.919,9.995,12.693,5.258,11.878,3.312,14.726,4.541,138
10.111,13.136,1.42,8.939,14.956,5.36,11.215,3.955,13.695,4.487,139
11.796,15.607,1.558,8.782,13.006,3.928,13.311,4.623,13.93,5.088,140
5.847,14.515,1.097,8.345,13.571,5.41,15.017,4.641,14.732,5.676,136
8.681,13.519,1.749,9.47,11.829,5.576,14.698,3.914,10.074,4.976,139
10.621,19.718,1.691,9.695,15.286,5.121,10.092,4.174,12.554,3.383,134
10.033,18.674,1.419,8.181,13.573,3.686,13.012,3.144,14.685,3.827,139
5.461,18.624,1.687,8.963,10.359,5.328,13.012,3.531,11.045,3.732,135
6.349,14.277,1.886,9.883,11.256,4.445,10.001,4.702,14.264,5.418,139
5.142,12.224,1.846,9.776,13.985,4.673,12.559,3.505,12.928,4.928,137
5.504,19.246,1.333,8.807,11.206,6.27,10.402,6.494,10.651,5.825,136
11.198,18.707,1.05,9.618,10.226,3.843,10.959,5.174,12.768,5.786,136
10.444,17.724,1.368,8.35,12.613,6.023,15.324,6.278,12.271,5.308,132
11.495,15.953,1.993,8.933,15.189,6.139,10.862,5.44,13.156,5.035,139
10.276,18.604,1.824,9.498,10.175,3.16,14.382,4.855,14.275,6.42,139
6.437,16.656,1.135,8.649,10.061,4.01,13.549,6.15,15.42,3.727,137
8.627,19.317,1.465,9.858,13.804,6.289,10.466,6.482,13.79,4.579,137
10.423,12.34,1.819,8.719,14.365,5.884,14.088,4.516,10.477,3.903,138
11.593,12.141,1.747,8.343,10.639,6.374,14.733,6.105,10.271,3.581,138
